endpoint	endpoint_label	match_scope	match_scope_label	top_type	cutoff	ranking_method	ranking_label	ranking_column	ranking_direction	n_patients	median_delta_hit_rate_vs_ic50	mean_delta_hit_rate_vs_ic50	median_delta_hits_vs_ic50	sum_delta_hits_vs_ic50	patients_better_than_ic50	patients_same_as_ic50	patients_worse_than_ic50	median_method_hit_rate	median_ic50_hit_rate
strict_positive_experimental	Strict positive experimental evidence	exact_peptide_hla	Exact peptide + HLA	topn	30	net_betweenness	Network betweenness	Net_Betweenness	higher_better	30	0.0	0.0	0.0	0	0	30	0	0.0	0.0
strict_positive_experimental	Strict positive experimental evidence	exact_peptide_hla	Exact peptide + HLA	topn	30	net_degree	Network degree	Net_Degree	higher_better	30	0.0	0.0	0.0	0	0	30	0	0.0	0.0
strict_positive_experimental	Strict positive experimental evidence	exact_peptide_hla	Exact peptide + HLA	topn	30	net_impact	Network impact	Net_Impact	higher_better	30	0.0	0.0	0.0	0	0	30	0	0.0	0.0
strict_positive_experimental	Strict positive experimental evidence	exact_peptide_hla	Exact peptide + HLA	topn	30	net_strength	Network strength	Net_Strength	higher_better	30	0.0	0.0	0.0	0	0	30	0	0.0	0.0
strict_positive_experimental	Strict positive experimental evidence	exact_peptide_hla	Exact peptide + HLA	topn	30	net_wci	Network WCI	Net_WCI	higher_better	30	0.0	0.0	0.0	0	0	30	0	0.0	0.0
strict_positive_experimental	Strict positive experimental evidence	exact_peptide_hla	Exact peptide + HLA	topn	30	tumor_dna_vaf	Tumor DNA VAF	Tumor DNA VAF	higher_better	30	0.0	0.0	0.0	0	0	30	0	0.0	0.0
strict_positive_experimental	Strict positive experimental evidence	exact_peptide_hla	Exact peptide + HLA	topn	40	borda	Borda	Borda_Rank	lower_better	30	0.0	0.0	0.0	0	0	30	0	0.0	0.0
strict_positive_experimental	Strict positive experimental evidence	exact_peptide_hla	Exact peptide + HLA	topn	40	depmap_survivability	DepMap survivability	Depmap_survivability_score	lower_better	30	0.0	0.0	0.0	0	0	30	0	0.0	0.0
strict_positive_experimental	Strict positive experimental evidence	exact_peptide_hla	Exact peptide + HLA	topn	40	net_betweenness	Network betweenness	Net_Betweenness	higher_better	30	0.0	0.0	0.0	0	0	30	0	0.0	0.0
strict_positive_experimental	Strict positive experimental evidence	exact_peptide_hla	Exact peptide + HLA	topn	40	net_degree	Network degree	Net_Degree	higher_better	30	0.0	0.0	0.0	0	0	30	0	0.0	0.0
strict_positive_experimental	Strict positive experimental evidence	exact_peptide_hla	Exact peptide + HLA	topn	40	net_impact	Network impact	Net_Impact	higher_better	30	0.0	0.0	0.0	0	0	30	0	0.0	0.0
strict_positive_experimental	Strict positive experimental evidence	exact_peptide_hla	Exact peptide + HLA	topn	40	net_strength	Network strength	Net_Strength	higher_better	30	0.0	0.0	0.0	0	0	30	0	0.0	0.0
strict_positive_experimental	Strict positive experimental evidence	exact_peptide_hla	Exact peptide + HLA	topn	40	net_wci	Network WCI	Net_WCI	higher_better	30	0.0	0.0	0.0	0	0	30	0	0.0	0.0
strict_positive_experimental	Strict positive experimental evidence	exact_peptide_hla	Exact peptide + HLA	topn	40	tumor_dna_vaf	Tumor DNA VAF	Tumor DNA VAF	higher_better	30	0.0	0.0	0.0	0	0	30	0	0.0	0.0
strict_positive_experimental	Strict positive experimental evidence	exact_peptide_hla	Exact peptide + HLA	topn	50	borda	Borda	Borda_Rank	lower_better	30	0.0	0.0	0.0	0	0	30	0	0.0	0.0
strict_positive_experimental	Strict positive experimental evidence	exact_peptide_hla	Exact peptide + HLA	topn	50	depmap_survivability	DepMap survivability	Depmap_survivability_score	lower_better	30	0.0	0.0	0.0	0	0	30	0	0.0	0.0
strict_positive_experimental	Strict positive experimental evidence	exact_peptide_hla	Exact peptide + HLA	topn	50	net_betweenness	Network betweenness	Net_Betweenness	higher_better	30	0.0	0.0	0.0	0	0	30	0	0.0	0.0
strict_positive_experimental	Strict positive experimental evidence	exact_peptide_hla	Exact peptide + HLA	topn	50	net_degree	Network degree	Net_Degree	higher_better	30	0.0	0.0	0.0	0	0	30	0	0.0	0.0
strict_positive_experimental	Strict positive experimental evidence	exact_peptide_hla	Exact peptide + HLA	topn	50	net_impact	Network impact	Net_Impact	higher_better	30	0.0	0.0	0.0	0	0	30	0	0.0	0.0
strict_positive_experimental	Strict positive experimental evidence	exact_peptide_hla	Exact peptide + HLA	topn	50	net_strength	Network strength	Net_Strength	higher_better	30	0.0	0.0	0.0	0	0	30	0	0.0	0.0
strict_positive_experimental	Strict positive experimental evidence	exact_peptide_hla	Exact peptide + HLA	topn	50	net_wci	Network WCI	Net_WCI	higher_better	30	0.0	0.0	0.0	0	0	30	0	0.0	0.0
strict_positive_experimental	Strict positive experimental evidence	exact_peptide_hla	Exact peptide + HLA	topn	50	tumor_dna_vaf	Tumor DNA VAF	Tumor DNA VAF	higher_better	30	0.0	0.0	0.0	0	0	30	0	0.0	0.0
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	percent	10	borda	Borda	Borda_Rank	lower_better	30	0.0	-0.006098356407953933	0.0	6	8	14	8	0.24415204678362573	0.2426470588235294
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	percent	10	depmap_survivability	DepMap survivability	Depmap_survivability_score	lower_better	30	0.0	0.029159121615037618	0.0	4	10	11	9	0.2899159663865546	0.2426470588235294
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	percent	10	net_betweenness	Network betweenness	Net_Betweenness	higher_better	30	0.0	0.027490140914558734	0.0	8	13	7	10	0.2857142857142857	0.2426470588235294
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	percent	10	net_degree	Network degree	Net_Degree	higher_better	30	0.02777777777777779	0.062339849792400606	0.5	8	15	5	10	0.3431372549019608	0.2426470588235294
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	percent	10	net_impact	Network impact	Net_Impact	higher_better	30	0.0	0.024465453657134907	0.0	7	13	8	9	0.3333333333333333	0.2426470588235294
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	percent	10	net_strength	Network strength	Net_Strength	higher_better	30	0.0	0.04870349975276613	0.0	11	13	8	9	0.36231884057971014	0.2426470588235294
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	percent	10	net_wci	Network WCI	Net_WCI	higher_better	30	0.0	-0.03235603864086836	0.0	-4	11	8	11	0.21764705882352942	0.2426470588235294
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	percent	10	tumor_dna_vaf	Tumor DNA VAF	Tumor DNA VAF	higher_better	30	0.021739130434782622	0.06515258443714494	0.5	7	15	8	7	0.3333333333333333	0.2426470588235294
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	percent	20	borda	Borda	Borda_Rank	lower_better	30	0.0	0.042752414486160614	0.0	19	14	8	8	0.2863636363636364	0.2
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	percent	20	depmap_survivability	DepMap survivability	Depmap_survivability_score	lower_better	30	0.06477732793522267	0.04179174152084369	1.0	20	17	5	8	0.3015151515151515	0.2
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	percent	20	net_betweenness	Network betweenness	Net_Betweenness	higher_better	30	0.0	0.02204331587458522	0.0	20	14	7	9	0.27884615384615385	0.2
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	percent	20	net_degree	Network degree	Net_Degree	higher_better	30	0.03598484848484848	0.03900179009312136	1.0	10	17	3	10	0.2967032967032967	0.2
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	percent	20	net_impact	Network impact	Net_Impact	higher_better	30	0.04060150375939847	0.03321591377318931	1.0	11	16	5	9	0.2761904761904762	0.2
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	percent	20	net_strength	Network strength	Net_Strength	higher_better	30	0.03809523809523807	0.02969583907664403	1.0	8	16	5	9	0.2761904761904762	0.2
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	percent	20	net_wci	Network WCI	Net_WCI	higher_better	30	0.0	-0.0009066541729080428	0.0	6	12	8	10	0.2365967365967366	0.2
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	percent	20	tumor_dna_vaf	Tumor DNA VAF	Tumor DNA VAF	higher_better	30	0.07147147147147145	0.051365709972521115	1.0	12	16	7	7	0.3333333333333333	0.2
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	percent	30	borda	Borda	Borda_Rank	lower_better	30	0.04423076923076924	0.04410216856694041	1.0	33	18	5	7	0.26785714285714285	0.2222222222222222
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	percent	30	depmap_survivability	DepMap survivability	Depmap_survivability_score	lower_better	30	0.08140756302521009	0.05198536023357967	1.0	34	20	3	7	0.28888888888888886	0.2222222222222222
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	percent	30	net_betweenness	Network betweenness	Net_Betweenness	higher_better	30	0.0	0.030647367127287144	0.0	26	14	6	10	0.25	0.2222222222222222
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	percent	30	net_degree	Network degree	Net_Degree	higher_better	30	0.024999999999999994	0.04366633529784181	0.5	28	15	5	10	0.2596153846153846	0.2222222222222222
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	percent	30	net_impact	Network impact	Net_Impact	higher_better	30	0.030023547880690754	0.05398158487945583	1.0	32	16	5	9	0.2669683257918552	0.2222222222222222
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	percent	30	net_strength	Network strength	Net_Strength	higher_better	30	0.030023547880690754	0.0497976124399053	1.0	29	16	5	9	0.25	0.2222222222222222
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	percent	30	net_wci	Network WCI	Net_WCI	higher_better	30	0.019819466248037695	0.031434066911560095	1.0	23	16	3	11	0.24107142857142858	0.2222222222222222
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	percent	30	tumor_dna_vaf	Tumor DNA VAF	Tumor DNA VAF	higher_better	30	0.03888888888888889	0.030932837797095304	1.0	13	16	6	8	0.25	0.2222222222222222
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	percent	40	borda	Borda	Borda_Rank	lower_better	30	0.05827702702702703	0.053861240051863775	1.5	46	20	4	6	0.27597903176071537	0.23240589198036007
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	percent	40	depmap_survivability	DepMap survivability	Depmap_survivability_score	lower_better	30	0.042307692307692296	0.05312675981560714	1.0	39	18	5	7	0.2653846153846154	0.23240589198036007
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	percent	40	net_betweenness	Network betweenness	Net_Betweenness	higher_better	30	0.028006267136701915	0.04291450833058048	1.5	36	16	6	8	0.2805383022774327	0.23240589198036007
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	percent	40	net_degree	Network degree	Net_Degree	higher_better	30	0.052777777777777785	0.05588498717423961	1.0	42	19	2	9	0.2697505197505198	0.23240589198036007
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	percent	40	net_impact	Network impact	Net_Impact	higher_better	30	0.05334281650071124	0.06312992842238281	1.0	49	18	3	9	0.2735966735966736	0.23240589198036007
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	percent	40	net_strength	Network strength	Net_Strength	higher_better	30	0.058230683090705476	0.0572698076281596	1.0	45	17	4	9	0.2774725274725275	0.23240589198036007
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	percent	40	net_wci	Network WCI	Net_WCI	higher_better	30	0.013157894736842105	0.04318556425425995	0.5	21	15	5	10	0.245	0.23240589198036007
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	percent	40	tumor_dna_vaf	Tumor DNA VAF	Tumor DNA VAF	higher_better	30	0.05263157894736842	0.040000629170059344	1.0	25	20	3	7	0.2620137299771167	0.23240589198036007
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	percent	50	borda	Borda	Borda_Rank	lower_better	30	0.02265745007680492	0.032035531747198344	1.0	30	17	3	10	0.2795138888888889	0.22179089026915114
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	percent	50	depmap_survivability	DepMap survivability	Depmap_survivability_score	lower_better	30	0.044060559006211183	0.02388091893252843	1.0	17	16	3	11	0.2608695652173913	0.22179089026915114
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	percent	50	net_betweenness	Network betweenness	Net_Betweenness	higher_better	30	0.01645225136071253	0.016707951836964406	1.0	15	16	2	12	0.25737126245847175	0.22179089026915114
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	percent	50	net_degree	Network degree	Net_Degree	higher_better	30	0.032574152542372864	0.03568950586174958	1.5	28	18	1	11	0.27657807308970095	0.22179089026915114
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	percent	50	net_impact	Network impact	Net_Impact	higher_better	30	0.03485576923076922	0.03897774336537676	1.0	35	18	3	9	0.2784503631961259	0.22179089026915114
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	percent	50	net_strength	Network strength	Net_Strength	higher_better	30	0.029869067103109645	0.03609777148297677	1.0	28	16	5	9	0.2662372517444981	0.22179089026915114
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	percent	50	net_wci	Network WCI	Net_WCI	higher_better	30	0.0	0.01668009160550564	0.0	6	14	2	14	0.25	0.22179089026915114
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	percent	50	tumor_dna_vaf	Tumor DNA VAF	Tumor DNA VAF	higher_better	30	0.021961063627730287	0.01154317321324328	1.0	1	16	2	12	0.24262873754152825	0.22179089026915114
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	percent	60	borda	Borda	Borda_Rank	lower_better	30	0.004807692307692318	0.005973645138362972	0.5	16	15	6	9	0.2615384615384615	0.22941970310391363
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	percent	60	depmap_survivability	DepMap survivability	Depmap_survivability_score	lower_better	30	0.0	0.01611474022610589	0.0	13	13	9	8	0.25783475783475784	0.22941970310391363
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	percent	60	net_betweenness	Network betweenness	Net_Betweenness	higher_better	30	0.0	-0.005291202786481697	0.0	6	14	4	12	0.25	0.22941970310391363
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	percent	60	net_degree	Network degree	Net_Degree	higher_better	30	0.0	0.017906058683315504	0.0	24	14	5	11	0.2671361502347418	0.22941970310391363
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	percent	60	net_impact	Network impact	Net_Impact	higher_better	30	0.004854368932038833	0.0127783384239368	0.5	19	15	4	11	0.26969009826152684	0.22941970310391363
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	percent	60	net_strength	Network strength	Net_Strength	higher_better	30	0.004807692307692318	0.0114393320307107	0.5	16	15	4	11	0.268291761148904	0.22941970310391363
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	percent	60	net_wci	Network WCI	Net_WCI	higher_better	30	0.0	-0.0019939312665168724	0.0	5	12	4	14	0.24662162162162163	0.22941970310391363
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	percent	60	tumor_dna_vaf	Tumor DNA VAF	Tumor DNA VAF	higher_better	30	-0.004854368932038847	-0.00803281194726422	-0.5	-16	9	6	15	0.24351851851851852	0.22941970310391363
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	topn	10	borda	Borda	Borda_Rank	lower_better	30	0.1	0.09000000000000001	1.0	27	17	7	6	0.35	0.2
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	topn	10	depmap_survivability	DepMap survivability	Depmap_survivability_score	lower_better	30	0.04999999999999999	0.07333333333333333	0.5	22	15	7	8	0.3	0.2
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	topn	10	net_betweenness	Network betweenness	Net_Betweenness	higher_better	30	0.0	0.02666666666666667	0.0	8	12	9	9	0.2	0.2
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	topn	10	net_degree	Network degree	Net_Degree	higher_better	30	0.04999999999999999	0.07	0.5	21	15	9	6	0.3	0.2
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	topn	10	net_impact	Network impact	Net_Impact	higher_better	30	0.04999999999999999	0.06333333333333332	0.5	19	15	9	6	0.3	0.2
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	topn	10	net_strength	Network strength	Net_Strength	higher_better	30	0.09999999999999998	0.07666666666666666	1.0	23	16	8	6	0.3	0.2
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	topn	10	net_wci	Network WCI	Net_WCI	higher_better	30	0.0	0.023333333333333338	0.0	7	11	10	9	0.2	0.2
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	topn	10	tumor_dna_vaf	Tumor DNA VAF	Tumor DNA VAF	higher_better	30	0.0	0.04000000000000001	0.0	12	13	10	7	0.3	0.2
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	topn	20	borda	Borda	Borda_Rank	lower_better	30	0.04999999999999999	0.034999999999999996	1.0	21	17	5	8	0.3	0.25
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	topn	20	depmap_survivability	DepMap survivability	Depmap_survivability_score	lower_better	30	0.0	0.02666666666666666	0.0	16	13	10	7	0.25	0.25
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	topn	20	net_betweenness	Network betweenness	Net_Betweenness	higher_better	30	0.0	0.021666666666666664	0.0	13	13	8	9	0.3	0.25
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	topn	20	net_degree	Network degree	Net_Degree	higher_better	30	0.0	0.016666666666666666	0.0	10	14	8	8	0.25	0.25
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	topn	20	net_impact	Network impact	Net_Impact	higher_better	30	0.0	0.025	0.0	15	14	9	7	0.25	0.25
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	topn	20	net_strength	Network strength	Net_Strength	higher_better	30	0.0	0.021666666666666667	0.0	13	14	9	7	0.25	0.25
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	topn	20	net_wci	Network WCI	Net_WCI	higher_better	30	0.0	0.014999999999999996	0.0	9	14	9	7	0.275	0.25
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	topn	20	tumor_dna_vaf	Tumor DNA VAF	Tumor DNA VAF	higher_better	30	0.024999999999999994	0.009999999999999998	0.5	6	15	6	9	0.25	0.25
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	topn	30	borda	Borda	Borda_Rank	lower_better	30	0.0	0.016666666666666666	0.0	15	10	14	6	0.26666666666666666	0.2554347826086957
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	topn	30	depmap_survivability	DepMap survivability	Depmap_survivability_score	lower_better	30	0.0	0.006666666666666662	0.0	6	10	10	10	0.2833333333333333	0.2554347826086957
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	topn	30	net_betweenness	Network betweenness	Net_Betweenness	higher_better	30	0.0	0.013333333333333332	0.0	12	12	10	8	0.263768115942029	0.2554347826086957
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	topn	30	net_degree	Network degree	Net_Degree	higher_better	30	0.0	-0.003333333333333332	0.0	-3	10	10	10	0.23333333333333334	0.2554347826086957
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	topn	30	net_impact	Network impact	Net_Impact	higher_better	30	0.0	0.007777777777777776	0.0	7	9	13	8	0.26666666666666666	0.2554347826086957
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	topn	30	net_strength	Network strength	Net_Strength	higher_better	30	0.0	-0.004444444444444445	0.0	-4	7	13	10	0.2554347826086957	0.2554347826086957
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	topn	30	net_wci	Network WCI	Net_WCI	higher_better	30	0.0	-0.0022222222222222227	0.0	-2	9	11	10	0.23333333333333334	0.2554347826086957
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	topn	30	tumor_dna_vaf	Tumor DNA VAF	Tumor DNA VAF	higher_better	30	0.0	-0.004444444444444447	0.0	-4	8	11	11	0.263768115942029	0.2554347826086957
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	topn	40	borda	Borda	Borda_Rank	lower_better	30	0.0	0.010833333333333334	0.0	13	10	14	6	0.25	0.25
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	topn	40	depmap_survivability	DepMap survivability	Depmap_survivability_score	lower_better	30	0.0	0.0066666666666666645	0.0	8	8	15	7	0.2554347826086957	0.25
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	topn	40	net_betweenness	Network betweenness	Net_Betweenness	higher_better	30	0.0	0.010833333333333334	0.0	13	10	12	8	0.25	0.25
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	topn	40	net_degree	Network degree	Net_Degree	higher_better	30	0.0	0.005	0.0	6	10	14	6	0.25	0.25
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	topn	40	net_impact	Network impact	Net_Impact	higher_better	30	0.0	0.009999999999999998	0.0	12	10	15	5	0.25	0.25
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	topn	40	net_strength	Network strength	Net_Strength	higher_better	30	0.0	0.006666666666666664	0.0	8	10	14	6	0.25	0.25
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	topn	40	net_wci	Network WCI	Net_WCI	higher_better	30	0.0	0.006666666666666665	0.0	8	10	12	8	0.25	0.25
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	topn	40	tumor_dna_vaf	Tumor DNA VAF	Tumor DNA VAF	higher_better	30	0.0	-0.005000000000000004	0.0	-6	7	15	8	0.23128342245989303	0.25
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	topn	50	borda	Borda	Borda_Rank	lower_better	30	0.0	0.01	0.0	15	7	18	5	0.26	0.2376470588235294
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	topn	50	depmap_survivability	DepMap survivability	Depmap_survivability_score	lower_better	30	0.0	0.008	0.0	12	8	16	6	0.255	0.2376470588235294
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	topn	50	net_betweenness	Network betweenness	Net_Betweenness	higher_better	30	0.0	0.00933333333333333	0.0	14	6	17	7	0.24	0.2376470588235294
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	topn	50	net_degree	Network degree	Net_Degree	higher_better	30	0.0	0.012666666666666666	0.0	19	7	18	5	0.26	0.2376470588235294
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	topn	50	net_impact	Network impact	Net_Impact	higher_better	30	0.0	0.01	0.0	15	7	19	4	0.24	0.2376470588235294
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	topn	50	net_strength	Network strength	Net_Strength	higher_better	30	0.0	0.009333333333333332	0.0	14	7	19	4	0.245	0.2376470588235294
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	topn	50	net_wci	Network WCI	Net_WCI	higher_better	30	0.0	0.003333333333333335	0.0	5	7	16	7	0.2376470588235294	0.2376470588235294
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide	topn	50	tumor_dna_vaf	Tumor DNA VAF	Tumor DNA VAF	higher_better	30	0.0	-0.004666666666666665	0.0	-7	6	17	7	0.2376470588235294	0.2376470588235294
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide_hla	Relaxed min-8 peptide + HLA	percent	10	borda	Borda	Borda_Rank	lower_better	30	0.0	0.0	0.0	0	0	30	0	0.0	0.0
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide_hla	Relaxed min-8 peptide + HLA	percent	10	depmap_survivability	DepMap survivability	Depmap_survivability_score	lower_better	30	0.0	0.0	0.0	0	0	30	0	0.0	0.0
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide_hla	Relaxed min-8 peptide + HLA	percent	10	net_betweenness	Network betweenness	Net_Betweenness	higher_better	30	0.0	0.0	0.0	0	0	30	0	0.0	0.0
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide_hla	Relaxed min-8 peptide + HLA	percent	10	net_degree	Network degree	Net_Degree	higher_better	30	0.0	0.0	0.0	0	0	30	0	0.0	0.0
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide_hla	Relaxed min-8 peptide + HLA	percent	10	net_impact	Network impact	Net_Impact	higher_better	30	0.0	0.0	0.0	0	0	30	0	0.0	0.0
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide_hla	Relaxed min-8 peptide + HLA	percent	10	net_strength	Network strength	Net_Strength	higher_better	30	0.0	0.0	0.0	0	0	30	0	0.0	0.0
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide_hla	Relaxed min-8 peptide + HLA	percent	10	net_wci	Network WCI	Net_WCI	higher_better	30	0.0	0.0	0.0	0	0	30	0	0.0	0.0
